state,locality,postcode_range,situation,range_type,page,fetched_from,fetched_date,url_fetched_from
AC,Acrelândia,69945-000 a 69949-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Assis Brasil,69935-000 a 69939-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Brasiléia,69932-000 a 69933-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Bujari,69926-000 a 69926-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Capixaba,69931-000 a 69931-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Cruzeiro do Sul,69980-000 a 69981-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Epitaciolândia,69934-000 a 69934-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Feijó,69960-000 a 69969-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Jordão,69975-000 a 69979-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Manoel Urbano,69950-000 a 69954-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Marechal Thaumaturgo,69983-000 a 69984-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Mâncio Lima,69990-000 a 69999-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Plácido de Castro,69928-000 a 69929-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Porto Acre,69927-000 a 69927-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Porto Walter,69982-000 a 69982-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Rio Branco,69900-001 a 69924-999,Codificado por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Rio Branco,69900-001 a 69923-999,Codificada por logradouros,Exclusiva da sede urbana,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Rodrigues Alves,69985-000 a 69989-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Santa Rosa do Purus,69955-000 a 69959-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Sena Madureira,69940-000 a 69944-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Senador Guiomard,69925-000 a 69925-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Tarauacá,69970-000 a 69974-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AC,Xapuri,69930-000 a 69930-999,Não codificada por logradouros,Total do município,1 a 23 de 23,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Anadia,57660-000 a 57669-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Arapiraca,57300-001 a 57319-999,Codificado por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Arapiraca,57300-001 a 57317-999,Codificada por logradouros,Exclusiva da sede urbana,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Atalaia,57690-000 a 57699-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Barra de Santo Antônio,57925-000 a 57929-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Barra de São Miguel,57180-000 a 57199-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Batalha,57420-000 a 57424-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Belo Monte,57435-000 a 57439-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Belém,57630-000 a 57634-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Boca da Mata,57680-000 a 57689-999,Não codificada por logradouros,Total do município,1 a 50 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
